編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLPLNHPFFCC88CA,21,9.82,共用部份,鋼筋混凝土造,88年1月14日,十二層,
RPVNMLPLNHPFFCC88CA,21,40.03,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPPOMLMKOHPFFBC08DA,38,76.89,住家用,鋼筋混凝土造,71年2月27日,四層,一層
RPXNMLLJOHPFFCC58CA,22,31.30,商業用,鋼筋混凝土造,87年1月17日,十三層,一層 騎樓
RPXNMLLJOHPFFCC58CA,22,8.08,共用部份,鋼筋混凝土造,87年1月17日,十三層,
RPXNMLLJOHPFFCC58CA,22,.02,共用部份,鋼筋混凝土造,87年1月17日,十三層,
RPXNMLLJOHPFFCC58CA,22,.02,共用部份,鋼筋混凝土造,87年1月17日,十三層,
RPQNMLSKNHPFFBC58DA,22,119.83,住家用,鋼筋混凝土造,86年11月21日,十八層,十五層
RPQNMLSKNHPFFBC58DA,22,19.14,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPQNMLSKNHPFFBC58DA,22,10.84,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPQNMLSKNHPFFBC58DA,22,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPWNMLMJOHPFFCC58CA,4,86.44,見其他登記事項,鋼筋混凝土造,105年7月26日,六層,四層
RPWNMLMJOHPFFCC58CA,4,23.17,見其他登記事項,鋼筋混凝土造,105年7月26日,六層,
RPWNMLMJOHPFFCC58CA,4,13.03,見其他登記事項,鋼筋混凝土造,105年7月26日,六層,
RPWNMLOKNHPFFCC78CA,1,100.85,見其他登記事項,鋼筋混凝土造,108年6月3日,十層,八層
RPWNMLOKNHPFFCC78CA,1,57.99,見其他登記事項,鋼筋混凝土造,108年6月3日,十層,
RPWNMLPJOHPFFBC78CA,1,142.80,見其他登記事項,鋼筋混凝土造,108年4月9日,五層,三層
RPWNMLPJOHPFFBC78CA,1,63.64,見其他登記事項,鋼筋混凝土造,108年4月9日,五層,
RPQNMLSKNHPFFCC58CA,25,73.73,住家用,鋼筋混凝土造,84年1月17日,五層,四層
RPPNMLRKNHPFFBC28CA,23,24.03,住家用,鋼筋混凝土造,85年11月29日,二十三層,十一層
RPQNMLSKNHPFFCC58CA,25,14.38,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPQNMLSKNHPFFCC58CA,25,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPPNMLRKNHPFFBC28CA,23,3.89,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPPNMLRKNHPFFBC28CA,23,1.18,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPPNMLRKNHPFFBC28CA,23,1.79,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPWPMLOJOHPFFBC88CA,2,62.73,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,二層
RPWPMLOJOHPFFBC88CA,2,56.07,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPUNMLRLNHPFFBC88CA,23,70.68,住家用,鋼筋混凝土造,85年11月19日,五層,一層
RPUNMLRLNHPFFBC88CA,23,21.69,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPUNMLRLNHPFFBC88CA,23,.68,見其他登記事項,鋼筋混凝土造,85年11月19日,五層,一層 二層
RPUNMLRLNHPFFBC88CA,23,.22,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPUOMLLKOHPFFCC48CA,4,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十五層
RPUOMLLKOHPFFCC48CA,4,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPUOMLLKOHPFFCC48CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUOMLLKOHPFFCC48CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUOMLLKOHPFFCC48CA,4,.50,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUOMLLKOHPFFCC48CA,4,21.12,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPVNMLRLNHPFFBC98CA,22,28.38,住家用,鋼筋混凝土造,86年11月21日,十八層,十層
RPVNMLRLNHPFFBC98CA,22,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPVNMLRLNHPFFBC98CA,22,2.50,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPTNMLTKNHPFFBC88CA,22,111.75,住家用,鋼筋混凝土造,87年1月15日,六層,四層
RPTNMLTKNHPFFBC88CA,22,11.92,共用部份,鋼筋混凝土造,87年1月15日,六層,
RPTNMLTKNHPFFBC88CA,22,28.19,共用部份,鋼筋混凝土造,87年1月15日,六層,
RPQNMLNLNHPFFBC08CA,2,83.76,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,三層
RPQNMLNLNHPFFBC08CA,2,66.61,見其他登記事項,鋼筋混凝土造,106年11月9日,十層,
RPPNMLMLNHPFFBC87CA,22,95.43,住家用,鋼筋混凝土造,86年11月21日,十八層,十三層
RPPNMLMLNHPFFBC87CA,22,14.06,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPPNMLMLNHPFFBC87CA,22,8.58,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLPKNHPFFBC28CA,39,86.30,住家用,鋼筋混凝土造,70年4月7日,五層,五層
RPRNMLPKNHPFFBC28CA,39,2.67,共用部份,鋼筋混凝土造,70年4月7日,五層,
RPUNMLQLNHPFFBC78CA,15,104.48,見其他登記事項,鋼筋混凝土造,93年11月23日,四層,二層 三層 一層 四層 見其他登記事項
RPSOMLQLNHPFFBC68CA,2,70.70,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十三層
RPSOMLQLNHPFFBC68CA,2,44.78,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPSOMLQLNHPFFBC68CA,2,18.16,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPSOMLQLNHPFFBC68CA,2,.48,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPROMLQLNHPFFBC58CA,2,118.15,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十層
RPROMLQLNHPFFBC58CA,2,59.03,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPROMLQLNHPFFBC58CA,2,19.21,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPROMLQLNHPFFBC58CA,2,.50,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPQOMLQLNHPFFBC48CA,2,150.33,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十五層
RPQOMLQLNHPFFBC48CA,2,101.10,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPQOMLQLNHPFFBC48CA,2,25.75,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPQOMLQLNHPFFBC48CA,2,.96,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPRNMLKLNHPFFBC87CA,24,36.65,住家用,鋼筋混凝土造,85年4月26日,十六層,三層
RPRNMLKLNHPFFBC87CA,24,6.48,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPRNMLKLNHPFFBC87CA,24,3.95,共用部份,鋼筋混凝土造,85年4月26日,十六層,
RPUOMLQLNHPFFBC88CA,2,150.33,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,五層
RPUOMLQLNHPFFBC88CA,2,65.14,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPUOMLQLNHPFFBC88CA,2,24.35,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPUOMLQLNHPFFBC88CA,2,.96,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPWOMLQLNHPFFBC09CA,2,119.45,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,二層
RPWOMLQLNHPFFBC09CA,2,54.96,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPWOMLQLNHPFFBC09CA,2,19.15,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPWOMLQLNHPFFBC09CA,2,.52,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPVOMLQLNHPFFBC98CA,2,150.24,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,二層
RPVOMLQLNHPFFBC98CA,2,65.14,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPVOMLQLNHPFFBC98CA,2,25.75,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPVOMLQLNHPFFBC98CA,2,.96,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOPMLQLNHPFFBC38CA,2,95.73,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十層
RPOPMLQLNHPFFBC38CA,2,54.28,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOPMLQLNHPFFBC38CA,2,24.17,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOPMLQLNHPFFBC38CA,2,.66,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPXOMLQLNHPFFBC56CA,2,95.73,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,四層
RPXOMLQLNHPFFBC56CA,2,54.28,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPXOMLQLNHPFFBC56CA,2,24.17,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPXOMLQLNHPFFBC56CA,2,.66,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPPNMLQKNHPFFCC28CA,1,111.40,見其他登記事項,鋼筋混凝土造,108年1月2日,十五層,九層
RPPNMLQKNHPFFCC28CA,1,53.14,見其他登記事項,鋼筋混凝土造,108年1月2日,十五層,
RPQNMLTKNHPFFCC68CA,22,26.36,共用部份,鋼筋混凝土造,87年7月10日,五層,
RPQNMLTKNHPFFCC68CA,25,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPQNMLTKNHPFFCC68CA,22,75.59,住家用,鋼筋混凝土造,87年7月10日,五層,三層
RPOOMLSKNHPFFCC48CA,23,93.69,住家用,鋼筋混凝土造,86年5月8日,二十二層,九層 十層
RPOOMLSKNHPFFCC48CA,23,2.07,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPOOMLSKNHPFFCC48CA,23,16.66,共用部份,鋼筋混凝土造,86年5月8日,二十二層,
RPOOMLSKNHPFFCC48CA,23,1.05,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPVOMLMLNHPFFCC68CA,25,53.71,住家用,鋼筋混凝土造,84年7月1日,十二層,十二層
RPVOMLMLNHPFFCC68CA,25,39.66,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPVOMLMLNHPFFCC68CA,25,13.95,共用部份,鋼筋混凝土造,84年7月1日,十二層,
RPOOMLTLNHPFFCC68CA,11,94.64,住家用,鋼筋混凝土造,98年6月24日,十四層,三層
RPOOMLTLNHPFFCC68CA,11,19.66,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPOOMLTLNHPFFCC68CA,11,45.42,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPPNMLSKNHPFFCC48CA,21,63.03,住家用,鋼筋混凝土造,88年1月14日,十三層,二層
RPPNMLSKNHPFFCC48CA,21,12.17,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPPNMLSKNHPFFCC48CA,21,40.26,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPTNMLSKNHPFFCC98DA,25,97.76,住家用,鋼筋混凝土造,84年5月12日,五層,三層
RPTNMLSKNHPFFCC98DA,25,17.80,共用部份,鋼筋混凝土造,84年5月12日,五層,
RPTNMLKLNHPFFCC18CA,4,90.62,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,五層
RPTNMLKLNHPFFCC18CA,4,.87,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLKLNHPFFCC18CA,4,50.49,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPTNMLKLNHPFFCC18CA,4,.02,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPTNMLKLNHPFFCC18CA,4,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPTNMLKLNHPFFCC18CA,4,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLSKNHPFFCC56EA,37,58.54,住家用,鋼筋混凝土造,71年11月26日,五層,四層
SPPOMLTKNHPFFCC98EA,12,15.25,見其他登記事項,鋼筋混凝土造,97年2月4日,三層,一層
SPPOMLTKNHPFFCC98EA,12,20.08,共用部份,鋼筋混凝土造,97年2月4日,三層,
SPPOMLTKNHPFFCC98EA,12,35.74,共用部份,鋼筋混凝土造,97年2月4日,三層,
RPXNMLMLNHPFFCC98EA,4,13.47,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
