鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆竹區,土地,內興段991~1020地號,134.74,其他,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4352021,32299,,0.0,0,本案為桃園市政府與土地所有權人協議價購之案件。,RPQPMLMJOHPFFEH98DA
蘆竹區,土地,蘆興段151~180地號,44.02,其他,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1329404,30200,,0.0,0,本案為桃園市政府與土地所有權人協議價購之案件。,RPSPMLMJOHPFFEH56DA
蘆竹區,土地,內興段991~1020地號,134.74,其他,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4352021,32299,,0.0,0,本案為桃園市政府與土地所有權人協議價購之案件。,RPTPMLMJOHPFFEH66DA
龜山區,土地,煉油段691~720地號,27.93,住,,,1090427,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,53706,,0.0,0,,RPTOMLMKOHPFFHH96DA
大溪區,土地,仁愛段781~810地號,330.01,,一般農業區,農牧用地,1090317,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,7576,,0.0,0,,RPPNMLPKNHPFFCH88EA
平鎮區,土地,福林段481~510地號,661.79,,一般農業區,農牧用地,1090428,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,1813,,0.0,0,,RPUNMLLJOHPFFGH76EA
中壢區,房地(土地+建物)+車位,桃園市中壢區龍岡路三段37巷1~30號,13.35,商,,,1090328,土地2建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060605,129.35,2,2,1,有,有,5750000,50721,坡道平面,35.7,1000000,含增建或未登記建物。權利人共3位。,RPOQMLTKNHPFFBH66DA
新屋區,房地(土地+建物),桃園市新屋區保安路1351~1380號,1832.0,,特定農業區,農牧用地,1090427,土地3建物1車位0,一層，二層，屋頂突出物，騎樓,二層,農舍,農舍,加強磚造,0810310,223.6,3,1,2,有,無,6871591,,,0.0,0,受債權債務影響或債務抵償之交易。;,RPPOMLNJOHPFFDH78DA
大溪區,房地(土地+建物)+車位,桃園市大溪區士香街61~90號,72.33,住,,,1090413,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0940920,179.84,4,3,3,有,無,10400000,57829,一樓平面,0.0,0,含增建或未登記建物。,RPTOMLSKNHPFFCH96DA
桃園區,房地(土地+建物)+車位,桃園市桃園區大華五街61~90號,24.18,住,,,1090412,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030227,187.93,3,2,2,有,有,11500000,65811,坡道平面,34.46,1400000,含增建或未登記建物。;,RPTPMLPLNHPFFAH66DA
桃園區,房地(土地+建物)+車位,桃園市桃園區龍城三街1~30號,13.77,商,,,1090409,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900115,135.63,3,2,2,有,有,6670000,49178,坡道平面,0.0,1100000,含增建或未登記建物。;,RPTPMLTLNHPFFAH07DA
龜山區,土地,警大段181~210地號,776.45,住,,,1090320,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,152669481,196625,,0.0,0,1.本不動產交易包含未辦保存登記建物三棟。,RPQNMLKKOHPFFHH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊敬路二段181~210號,11.34,住,,,1090311,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920819,117.59,2,2,1,有,有,7200000,61230,坡道平面,0.0,1500000,含增建或未登記建物。,RPURMLSKNHPFFAH17DA
桃園區,房地(土地+建物)+車位,桃園市桃園區宏昌十街1~30號,15.02,住,,,1090223,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951011,114.44,2,2,1,有,有,6300000,59186,坡道平面,29.96,1300000,含增建或未登記建物。,RPVRMLSKNHPFFAH27DA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1291~1320號,31.67,住,,,1090406,土地1建物1車位2,四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950221,371.45,6,2,3,有,有,29750000,83199,坡道平面,54.74,3400000,含增建或未登記建物。,RPTSMLMLNHPFFAH66DA
龜山區,房地(土地+建物),桃園市龜山區頂興路1巷1~30號,20.57,住,,,1090317,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700915,74.9,3,2,1,有,無,4100000,54740,,0.0,0,,RPQNMLOLNHPFFHH66CA
龜山區,房地(土地+建物)+車位,桃園市龜山區自由街10巷31~60號,26.8,住,,,1090504,土地1建物1車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081230,130.66,2,2,1,有,有,10780000,87158,坡道平面,24.76,1550000,,RPUNMLKLNHPFFHH66CA
桃園區,房地(土地+建物),桃園市桃園區埔江街1~30號,34.5,住,,,1090407,土地2建物2車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700616,98.18,2,1,1,有,無,3300000,33612,,0.0,0,,RPPPMLOKNHPFFAH68DA
龜山區,土地,華亞段391~420地號,485.46,工,,,1090428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,52846028,108858,,0.0,0,,RPPNMLSKNHPFFHH86CA
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段1411~1440號,23.65,住,,,1081227,土地1建物1車位1,一層，二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1071026,151.76,0,0,0,無,有,19865000,130897,坡道平面,31.31,0,,RPQNMLTKNHPFFHH07CA
龜山區,房地(土地+建物)+車位,桃園市龜山區復興一路301~330號,60.64,住,,,1090115,土地1建物1車位2,二層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0930521,237.39000000000001,1,1,1,有,有,21000000,88462,坡道平面,45.7,0,,RPSNMLTKNHPFFHH27CA
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,18.7,住,,,1090507,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,155.86,3,1,2,有,有,9700000,63643,坡道平面,31.73,1800000,,RPOOMLKLNHPFFHH78CA
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.13,住,,,1090507,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,158.82999999999998,3,1,2,有,有,10270000,67034,坡道平面,31.73,1750000,,RPPOMLKLNHPFFHH88CA
龜山區,房地(土地+建物)+車位,桃園市龜山區華亞三路199巷1~30號,19.13,住,,,1090507,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081205,158.82999999999998,3,1,2,有,有,10270000,67034,坡道平面,31.73,1750000,,RPQOMLKLNHPFFHH98CA
龜山區,房地(土地+建物),桃園市龜山區長峰路91~120號,484.7,其他,,,1090406,土地6建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0950901,391.0,4,3,5,有,無,32000000,81841,,0.0,0,含增建或未登記建物。;,RPTOMLKLNHPFFHH66CA
龜山區,土地,壽山段661~690地號,137.4,其他,,,1090430,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,636000,4629,,0.0,0,包含公共設施保留地之交易。;,RPOOMLTKNHPFFHH96CA
平鎮區,土地,金星段631~660地號,239.36,住,,,1090327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8616359,35997,,0.0,0,,RPQPMLMJOHPFFGH09CA
平鎮區,土地,廣北段1051~1080地號,2.12,其他,,,1090401,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15052,7100,,0.0,0,包含公共設施保留地之交易。;,RPOOMLKKOHPFFGH68CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南東路31~60號,27.17,工,,,1090331,土地9建物1車位1,六層,七層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0820506,159.43,3,2,2,有,有,5680000,35627,坡道平面,38.36,0,,RPORMLLKOHPFFGH09CA
平鎮區,土地,東北段241~270地號,342.46,其他,,,1090413,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6190806,18077,,0.0,0,包含公共設施保留地之交易。;,RPQRMLLKOHPFFGH66CA
平鎮區,土地,西社段901~930地號,207.95,其他,,,1090408,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2653134,12759,,0.0,0,包含公共設施保留地之交易。;,RPRRMLLKOHPFFGH76CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區南華街398巷1~30號,94.17,農,,,1090412,土地1建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0881102,235.17,4,3,3,有,無,9600000,40822,一樓平面,0.0,0,,RPPNMLSKNHPFFGH76CA
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路南勢一段91~120號,23.51,住,,,1090315,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080503,149.8,2,2,2,有,有,7250000,53946,坡道平面,32.09,900000,,RPQOMLMLNHPFFGH09CA
平鎮區,房地(土地+建物),桃園市平鎮區游泳路120巷91~120號,104.21,住,,,1090314,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0620915,49.59,2,2,1,有,無,4550000,91752,,0.0,0,,RPUOMLMLNHPFFGH86CA
平鎮區,房地(土地+建物),桃園市平鎮區關爺北路36巷1~30號,17.09,,鄉村區,乙種建築用地,1080417,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700807,68.45,3,1,2,有,無,3500000,51132,,0.0,0,,RPPOMLOKNHPFFGH09CA
八德區,房地(土地+建物),桃園市八德區國豐五街1~30號,86.84,住,,,1090331,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970411,195.08,5,3,3,有,無,16060000,82325,,0.0,0,,RPQOMLPLNHPFFFH66CA
平鎮區,房地(土地+建物),桃園市平鎮區廣泰路232巷87弄1~30號,31.15,住,,,1090323,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840227,119.34,4,2,2,有,無,2400000,20111,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQOMLPKNHPFFGH66CA
八德區,土地,龍友段871~900地號,407.65,其他,,,1090413,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5247827,12873,,0.0,0,包含公共設施保留地之交易。;,RPTPMLLKOHPFFFH66CA
八德區,房地(土地+建物)+車位,桃園市八德區建德路271~300號,29.4,住,,,1090421,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040420,163.88,3,2,2,有,有,8750000,53393,坡道平面,26.19,0,含增建或未登記建物。;,RPSNMLQLNHPFFFH86CA
八德區,房地(土地+建物)+車位,桃園市八德區長興路61~90號,24.53,商,,,1090330,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030909,185.16,3,2,2,有,有,10400000,57103,坡道平面,25.8,1300000,,RPPNMLTKNHPFFFH76CA
八德區,房地(土地+建物)+車位,桃園市八德區大福街53巷1~30號,14.59,住,,,1090326,土地1建物1車位1,一層，二層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040120,104.41,0,0,0,無,有,6660000,63787,坡道平面,25.89,0,,RPTNMLPKNHPFFFH76CA
大園區,土地,五塊厝段下埔小段991~1020地號,1870.05,,特定農業區,農牧用地,1090213,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,44430000,23759,,0.0,0,,RPUOMLPKOHPFFEH96CA
大園區,房地(土地+建物),桃園市大園區大觀路585巷66弄1~30號,110.23,,特定農業區,甲種建築用地,1090405,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0951020,213.58,5,2,3,有,無,8200000,38393,,0.0,0,,RPSUMLTJOHPFFEH67CA
大園區,土地,竹圍段田寮小段211~240地號,1243.0,,一般農業區,農牧用地,1090401,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59210000,47635,,0.0,0,,RPWRMLLKOHPFFEH07CA
大園區,土地,橫山段湳子小段121~150地號,334.0,農,,,1090501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11880000,35569,,0.0,0,,RPUNMLKMNHPFFEH09CA
大園區,土地,竹圍段三塊石小段91~120地號,971.31,,特定農業區,農牧用地,1090427,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13600000,14002,,0.0,0,"本買賣標的因係屬航空城區段徵收範圍邊界土地,賣方同意先行將買方所買受持分全部移轉含未納入徵收部份待桃園市政府辦竣逕為分割登記後,買方切結須將非屬區段徵收範圍內之土地依逕割後之地號移轉返還賣方且所需之相關費用由買方負擔。",RPVNMLKMNHPFFEH56CA
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區中興六街121~150號,24.24,住,,,1090322,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030324,177.95,4,2,2,有,有,9350000,52543,坡道平面,32.65,0,,RPRRMLSLNHPFFEH27CA
蘆竹區,房地(土地+建物),桃園市蘆竹區長興路二段26巷1~30號,12.35,工,,,1090418,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0821129,62.22,2,1,1,有,有,2500000,40180,,0.0,0,,RPXNMLOJOHPFFEH96CA
