編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRPMLTKNHPFFAO37CA,5,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRPMLTKNHPFFAO37CA,5,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPRPMLTKNHPFFAO37CA,5,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRPMLTKNHPFFAO37CA,5,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPRPMLTKNHPFFAO37CA,5,30.90,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPRPMLTKNHPFFAO37CA,5,34.85,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPOQMLKLNHPFFAO98CA,22,108.01,住家用,鋼筋混凝土造,87年6月15日,十層,六層
RPOQMLKLNHPFFAO98CA,22,19.76,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPOQMLKLNHPFFAO98CA,22,56.91,共有部分,鋼筋混凝土造,87年6月15日,十層,
RPPPMLTKNHPFFAO17CA,13,69.77,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,二十三層
RPPPMLTKNHPFFAO17CA,13,8.42,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPPPMLTKNHPFFAO17CA,13,17.07,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPPPMLTKNHPFFAO17CA,13,.29,見其他登記事項,鋼骨鋼筋混凝土造,96年7月3日,二十八層,
RPWNMLSKNHPFFAO57CA,,74.06,住家用,鋼筋混凝土造,,十一層,四層
RPWNMLSKNHPFFAO57CA,,23.64,共有部分,鋼筋混凝土造,,十一層,
RPSPMLTKNHPFFAO47CA,29,27.63,住家用,鋼筋混凝土造,80年10月28日,五層,二層
RPSPMLTKNHPFFAO47CA,29,4.24,共有部分,鋼筋混凝土造,80年10月28日,000,
RPSPMLTKNHPFFAO47CA,29,10.79,共有部分,鋼筋混凝土造,80年10月28日,五層,
RPTPMLTKNHPFFAO57CA,5,137.55,見其他登記事項,鋼筋混凝土造,103年12月8日,二十八層,二十五層
RPTPMLTKNHPFFAO57CA,5,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTPMLTKNHPFFAO57CA,5,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPTPMLTKNHPFFAO57CA,5,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTPMLTKNHPFFAO57CA,5,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPTPMLTKNHPFFAO57CA,5,30.90,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPTPMLTKNHPFFAO57CA,5,34.85,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPUNMLKLNHPFFAO66CA,,116.33,住家用,鋼筋混凝土造,,七層,一層
RPUNMLKLNHPFFAO66CA,,10.84,共有部分,鋼筋混凝土造,,七層,
RPUNMLKLNHPFFAO66CA,,10.72,共有部分,鋼筋混凝土造,,七層,
RPPNMLKLNHPFFAO78CA,44,92.70,住家用,加強磚造,65年3月19日,二層,一層 二層
RPWNMLKLNHPFFAO86CA,26,85.41,住家用,鋼筋混凝土造,83年10月27日,十二層,八層
RPWNMLKLNHPFFAO86CA,,23.18,共有部分,鋼筋混凝土造,,十二層,
RPUOMLKLNHPFFAO76CA,41,86.10,住家用,加強磚造,67年12月28日,二層,一層 二層 夾層
RPQQMLKLNHPFFAO56CA,21,18.66,見其他登記事項,鋼筋混凝土造,88年7月13日,七層,七層
RPQQMLKLNHPFFAO56CA,21,14.34,共有部分,鋼筋混凝土造,88年7月13日,七層,
RPTOMLKLNHPFFAO66CA,11,.05,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,一層
RPTOMLKLNHPFFAO66CA,11,.01,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPTOMLKLNHPFFAO66CA,11,49.71,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPTOMLKLNHPFFAO66CA,11,97.35,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,六層
RPTOMLKLNHPFFAO66CA,11,20.88,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPTOMLKLNHPFFAO66CA,11,20.48,見其他登記事項,鋼筋混凝土造,97年10月22日,十四層,
RPQPMLKLNHPFFAO09CA,18,265.07,見其他登記事項,鋼筋混凝土造,91年7月1日,四層,一層 二層 三層 四層
RPVPMLTKNHPFFAO77CA,6,114.06,見其他登記事項,鋼筋混凝土造,103年8月28日,十五層,五層
RPVPMLTKNHPFFAO77CA,6,88.45,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPVPMLTKNHPFFAO77CA,6,27.08,共有部分,鋼筋混凝土造,103年8月28日,十五層,
RPWPMLTKNHPFFAO87CA,5,136.80,見其他登記事項,鋼筋混凝土造,104年8月18日,三層,一層 二層 三層
RPTNMLLLNHPFFAO66CA,,84.09,住家用,鋼筋混凝土造,,五層,四層
RPQQMLPLNHPFFAO07CA,30,35.78,,鋼筋混凝土造,79年6月11日,七層,五層
RPTNMLLLNHPFFAO66CA,37,18.62,共有部分,鋼筋混凝土造,71年12月9日,五層,
RPQQMLPLNHPFFAO07CA,30,8.62,共有部分,鋼筋混凝土造,79年6月11日,七層,
RPOOMLMLNHPFFAO98CA,47,42.54,住家用,加強磚造,62年1月20日,二層,二層
RPWPMLLLNHPFFAO17CA,12,27.40,辦公室,鋼筋混凝土造,97年7月30日,十層,五層
RPWPMLLLNHPFFAO17CA,12,16.18,見其他登記事項,鋼筋混凝土造,97年7月30日,十層,
RPROMLQLNHPFFAO07CA,22,174.98,住家用,鋼筋混凝土造,87年1月14日,四層,一層 二層 三層 四層
RPUNMLLLNHPFFAO76CA,22,.30,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,一層
RPUNMLLLNHPFFAO76CA,22,.06,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUNMLLLNHPFFAO76CA,22,.08,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUNMLLLNHPFFAO76CA,22,.19,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,一層
RPUNMLLLNHPFFAO76CA,22,.04,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUNMLLLNHPFFAO76CA,22,.06,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUNMLLLNHPFFAO76CA,22,90.57,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,五層
RPUNMLLLNHPFFAO76CA,22,15.95,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPUNMLLLNHPFFAO76CA,22,22.95,見其他登記事項,鋼筋混凝土造,87年4月10日,十二層,
RPQQMLLLNHPFFAO66CA,22,108.86,住家用,鋼筋混凝土造,86年12月10日,八層,二層
RPQQMLLLNHPFFAO66CA,22,13.23,共有部分,鋼筋混凝土造,86年12月10日,八層,
RPQQMLLLNHPFFAO66CA,22,14.45,共有部分,鋼筋混凝土造,86年12月10日,八層,
RPWOMLOLNHPFFAO37CA,8,82.15,見其他登記事項,鋼筋混凝土造,101年8月21日,十一層,五層
RPWOMLOLNHPFFAO37CA,8,13.23,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPWOMLOLNHPFFAO37CA,8,25.74,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPWOMLOLNHPFFAO37CA,8,.02,見其他登記事項,鋼筋混凝土造,101年8月21日,十一層,一層
RPWOMLOLNHPFFAO37CA,8,.00,共有部分,鋼筋混凝土造,101年8月21日,十一層,
RPWOMLOLNHPFFAO37CA,8,21.48,共有部分,鋼筋混凝土造,101年8月21日,十一層,
