鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
竹南鎮,土地,海口段港子墘小段31~60地號,1238.92,其他,,,1090320,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5946800,4800,,0.0,0,協議價購,RPTNMLSKNHPFFDK17CA
通霄鎮,土地,通南段241~270地號,441.98,農,,,1090422,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,6335,,0.0,0,,RPSNMLSJOHPFFCK96CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔五街239巷1~30號,133.51,住,,,1090406,土地2建物1車位2,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1050512,359.61,4,2,4,有,有,15380000,42769,坡道平面,0.0,0,,RPSNMLKLNHPFFDK98CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮山佳里24鄰萬富新村1~30號,95.15,,特定農業區,甲種建築用地,1090317,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0711126,92.0,3,3,2,有,無,2000000,21739,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLLLNHPFFDK88CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮平安里13鄰中正路241~270號,14.25,住,,,1090410,土地1建物1車位0,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0850701,117.36,4,2,2,有,有,2000000,17042,,0.0,0,,RPPNMLQLNHPFFCK56CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮營盤里22鄰南寶街31~60號,113.31,住,,,1090228,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860407,247.84,5,3,4,有,無,10500000,42366,,0.0,0,,RPOOMLNKNHPFFDK88CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大埔里2鄰大埔十街46巷1~30號,28.49,住,,,1090403,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060825,134.07999999999998,2,1,1,有,有,5100000,42714,坡道平面,33.41,800000,此交易內含機車位1個，且價款已含入交易總價； 與（頭份市信義段移轉面積2.08㎡）併同辦理,RPQOMLNKNHPFFDK09CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮大厝里7鄰開元路61~90號,30.6,住,,,1090102,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1020613,130.61,3,2,2,有,有,5000000,38282,一樓平面,0.0,0,,RPRNMLOKNHPFFDK56CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮中華里11鄰中正路156巷1弄31~60號,108.36,住,,,1090322,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0680810,183.63,0,0,0,無,無,5000000,27229,,0.0,0,,RPTNMLOKNHPFFDK76CA
後龍鎮,土地,外埔段1231~1260地號,1360.0,農,,,1090421,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1103,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLOKNHPFFDK86CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮大埔里5鄰大埔31~60號,142.64,住,,,1090420,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0660715,162.0,1,2,2,有,無,6100000,37654,,0.0,0,,RPVNMLOKNHPFFDK96CA
竹南鎮,房地(土地+建物),苗栗縣竹南鎮聖福里10鄰公教路200巷31~60號,74.54,住,,,1090411,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970104,182.36,4,3,3,有,無,7800000,42773,,0.0,0,,RPPNMLPKNHPFFDK09CA
南庄鄉,房地(土地+建物),苗栗縣南庄鄉田美村3鄰田美31~60號,3320.0,,山坡地保育區,農牧用地,1090305,土地3建物1車位0,一層，二層,二層,農舍,農舍,木造,1020318,237.19,4,1,4,有,無,16500000,,,0.0,0,,RPRNMLRLNHPFFFK17CA
頭份巿,土地,尖山下段991~1020地號,1543.66,,山坡地保育區,林業用地,1090402,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,1684,,0.0,0,,RPRNMLTJOHPFFFK27CA
後龍鎮,土地,崎頂段271~300地號,366.0,,一般農業區,農牧用地,1090326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5464,,0.0,0,※含網室及小木屋,RPPNMLSJNHPFFDK96CD
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市山下里8鄰翠亨路151~180號,26.5,住,,,1090401,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080416,176.94,3,2,2,有,有,7230000,42437,坡道平面,26.6,850000,交易內含機車位2個,RPOOMLNKNHPFFFK09CA
三義鄉,土地,魚藤坪段121~150地號,1262.0,,山坡地保育區,農牧用地,1090420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,475,,0.0,0,,RPTNMLOKNHPFFEK86CA
銅鑼鄉,土地,雙峰段421~450地號,310.62,,山坡地保育區,農牧用地,1090412,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,657737,2117,,0.0,0,,RPUNMLOKNHPFFEK96CA
銅鑼鄉,土地,雙峰段1~30地號,330.68,,山坡地保育區,農牧用地,1090412,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650191,1966,,0.0,0,,RPVNMLOKNHPFFEK07CA
銅鑼鄉,土地,東田洋段121~150地號,1423.82,住,,,1090306,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30150000,21175,,0.0,0,,RPWNMLOKNHPFFEK17CA
銅鑼鄉,土地,樟樹段181~210地號,254.33,,山坡地保育區,農牧用地,1090429,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,307760,1210,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLPKNHPFFEK56CA
三義鄉,房地(土地+建物),苗栗縣三義鄉鯉魚潭村3鄰鯉魚口61~90號,157.71,,特定農業區,甲種建築用地,1090417,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841216,236.22,4,2,4,有,無,6900000,29210,,0.0,0,,RPQNMLPKNHPFFEK66CA
三義鄉,土地,聖王段1081~1110地號,2080.45,,山坡地保育區,林業用地,1090309,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1586,,0.0,0,,RPPNMLSKNHPFFEK86CA
頭份巿,土地,信義段481~510地號,1765.7,農,,,1090206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,6003,,0.0,0,二親等買賣,RPQNMLTKNHPFFFK17CA
頭份巿,房地(土地+建物),苗栗縣頭份市興隆里4鄰一段451~480號,85.98,,山坡地保育區,丙種建築用地,1090417,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0700710,114.81,4,2,1,有,無,3400000,29614,,0.0,0,,RPPNMLPKNHPFFFK66CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市東庄里6鄰富強三街91~120號,22.48,住,,,1090406,土地1建物1車位1,一層，見其他登記事項,十四層,店面(店鋪),商業用,鋼筋混凝土造,1061115,125.91,0,0,0,無,有,6180000,55217,坡道平面,33.91,1100000,,RPSNMLPKNHPFFFK96CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市後庄里7鄰公北三路121~150號,14.39,商,,,1090419,土地4建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080114,169.39,3,2,2,有,無,9000000,55108,坡道平面,27.85,1200000,,RPUNMLOKNHPFFFK07CA
頭份巿,房地(土地+建物)+車位,苗栗縣頭份市中興里8鄰大亨街167巷1~30號,45.81,住,,,1090412,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080326,144.31,3,2,2,有,無,7800000,54050,一樓平面,0.0,0,,RPQNMLOKNHPFFFK66CA
西湖鄉,土地,新高埔段2371~2400地號,1247.23,,山坡地保育區,農牧用地,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2650000,2125,,0.0,0,,RPPPMLMKOHPFFEK56CA
銅鑼鄉,土地,新雞隆段271~300地號,635.0,,山坡地保育區,農牧用地,1090407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,420053,662,,0.0,0,國有土地移轉,RPPNMLNJOHPFFEK09DA
銅鑼鄉,土地,新雞隆段271~300地號,1554.0,,山坡地保育區,農牧用地,1090407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1027971,662,,0.0,0,國有土地移轉,SPPNMLNJOHPFFEK56DA
