鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大寮區,房地(土地+建物),高雄市大寮區正隆街46巷1~30號,85.75,住,,,1090412,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0800419,154.26,3,2,3,有,無,4880000,31635,,0.0,0,含增建或未登記建物。;,RPSNMLNKNHPFFLE76CA
林園區,房地(土地+建物),高雄市林園區王公路31~60號,147.0,住,,,1090323,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061205,335.41,5,2,6,有,無,17180000,51221,,0.0,0,,RPWNMLNKNHPFFLE17CA
大寮區,房地(土地+建物),高雄市大寮區大寮路564巷19弄1~30號,51.0,住,,,1090405,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0620601,76.44,4,2,2,有,無,3700000,48404,,0.0,0,,RPQNMLOKNHPFFLE66CA
阿蓮區,房地(土地+建物),高雄市阿蓮區中正路131巷1~30號,118.75,,鄉村區,乙種建築用地,1090426,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0650515,104.96,3,1,2,有,無,2200000,20960,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOOMLTJOHPFFJE86CA
路竹區,房地(土地+建物),高雄市路竹區大社路181~210號,400.77,住,,,1090408,土地3建物1車位0,全,二層,透天厝,住商用,加強磚造,0731218,204.56,4,2,2,有,無,11000000,53774,,0.0,0,,RPQNMLKKOHPFFJE78CA
湖內區,房地(土地+建物),高雄市湖內區中山路一段171巷2弄1~30號,101.81,住,,,1090413,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040702,214.9,5,2,5,有,無,12680000,59004,,0.0,0,內附傢俱,RPUNMLQLNHPFFJE17CA
路竹區,土地,聖母段1141~1170地號,1437.29,農,,,1090417,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,6262,,0.0,0,,RPQOMLNKNHPFFJE09CA
阿蓮區,土地,土庫段1621~1650地號,4089.0,,特定農業區,農牧用地,1090414,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11593500,2835,,0.0,0,,RPXNMLOKNHPFFJE17CA
路竹區,土地,大同段271~300地號,61.01,工,,,1090430,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2399218,39325,,0.0,0,畸零地或有合併使用之交易。;,RPPNMLPKNHPFFJE09CA
湖內區,房地(土地+建物),高雄市湖內區中山路一段447巷1~30號,101.78,住,,,1090324,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090203,217.62,4,3,3,有,無,11300000,51925,,0.0,0,,RPQNMLOKNHPFFJE09CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,8.27,商,,,1090330,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,82.19,2,2,1,有,有,5360000,65215,,0.0,0,不動產之共有人數為２人含裝潢,RPQOMLSJOHPFFIE86CA
仁武區,房地(土地+建物),高雄市仁武區永樂街96巷1~30號,68.26,住,,,1090419,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081127,159.24,4,2,5,有,無,11800000,74102,,0.0,0,,RPTNMLOJOHPFFIE66CA
路竹區,土地,竹園段601~630地號,111.82,,鄉村區,乙種建築用地,1090505,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,2683,,0.0,0,親友、員工或其他特殊關係間之交易。;買賣雙方為叔姪關係。所有權移轉所有費用由買方負擔。,RPSNMLNKNHPFFJE56CA
路竹區,土地,華山段331~360地號,1816.12,,一般農業區,農牧用地,1090410,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,1762,,0.0,0,,RPTNMLNKNHPFFJE66CA
田寮區,土地,牛稠埔段661~690地號,1889.0,,一般農業區,農牧用地,1090323,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3300000,1747,,0.0,0,,RPUNMLNKNHPFFJE76CA
仁武區,房地(土地+建物),高雄市仁武區文南街121~150號,69.98,住,,,1090327,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850617,146.98,4,2,3,有,無,7800000,53068,,0.0,0,,RPOPMLNJOHPFFIE88CA
大社區,房地(土地+建物),高雄市大社區保糖街6巷31~60號,77.0,住,,,1090425,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0930712,168.73,4,2,3,有,無,7300000,43264,,0.0,0,,RPPPMLNJOHPFFIE98CA
仁武區,房地(土地+建物)+車位,高雄市仁武區京吉三路211~240號,13.73,商,,,1090409,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,106.19,2,2,1,有,有,6050000,56973,坡道平面,35.79,0,含裝潢,RPQOMLTLNHPFFIE07CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,7.02,商,,,1090410,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,69.53,2,2,1,有,有,3940000,56666,,0.0,0,含裝潢,RPROMLTLNHPFFIE17CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,6.66,商,,,1090410,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,66.07,2,2,1,有,有,3740000,56607,,0.0,0,含裝潢,RPSOMLTLNHPFFIE27CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,8.27,商,,,1090407,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,82.19,2,2,1,有,有,4630000,56333,,0.0,0,含裝潢,RPTOMLTLNHPFFIE37CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,7.67,商,,,1090416,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,75.6,2,2,1,有,有,5110000,67593,,0.0,0,含裝潢,RPUOMLTLNHPFFIE47CA
仁武區,房地(土地+建物),高雄市仁武區京吉三路211~240號,6.68,商,,,1090410,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1081223,66.75,2,2,1,有,有,3800000,56929,,0.0,0,,RPXOMLTLNHPFFIE77CA
