鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新店區,房地(土地+建物),新北市新店區永業路81巷1弄1~30號,18.09,其他,,,1090414,土地1建物1車位0,二層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691212,77.41,3,2,1,有,有,5600000,72342,,0.0,0,,RPQPMLTKNHPFFCF56CA
新店區,房地(土地+建物)+車位,新北市新店區安祥路109巷6弄31~60號,159.26,,山坡地保育區,丙種建築用地,1090418,土地13建物6車位1,全,三層,透天厝,住家用,鋼筋混凝土造,0951120,183.84,4,2,3,有,有,15080000,82028,坡道平面,0.0,0,,RPSPMLKLNHPFFCF58CA
新店區,房地(土地+建物),新北市新店區華中街21巷1~30號,53.49,住,,,1090317,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0621015,117.5,0,0,0,無,無,12500000,106383,,0.0,0,增建頂樓。,RPPPMLLLNHPFFCF38CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段121~150號,16.79,住,,,1090402,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060324,186.53,3,2,2,有,有,24500000,145953,坡道平面,29.63,1600000,,RPUNMLMLNHPFFCF78CA
新店區,房地(土地+建物)+車位,新北市新店區安光路1~30號,15.04,住,,,1090429,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071015,127.49,2,2,1,有,有,13110000,111144,坡道平面,27.53,2000000,,RPRNMLSLNHPFFCF09CA
新店區,房地(土地+建物)+車位,新北市新店區安祥路110巷31~60號,45.01,,山坡地保育區,丙種建築用地,1090422,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850120,113.36000000000001,2,2,1,有,有,5500000,48518,坡道平面,0.0,0,,RPROMLQLNHPFFCF98CA
汐止區,房地(土地+建物)+車位,新北市汐止區忠孝東路391~420號,19.96,住,,,1090307,土地1建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080429,155.49,3,1,2,有,有,15200000,112012,坡道平面,35.86,1800000,,RPQNMLSKNHPFFDF98CA
汐止區,房地(土地+建物),新北市汐止區民族五街31~60號,16.64,住,,,1090324,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950815,79.35,2,2,1,有,有,7500000,94518,,0.0,0,陽台外推,RPWNMLSKNHPFFDF96CA
汐止區,房地(土地+建物),新北市汐止區福德一路300巷1~30號,84.02,住,,,1090325,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0770425,287.26,5,3,2,有,無,15680000,54585,,0.0,0,,RPSOMLMLNHPFFDF78CA
汐止區,房地(土地+建物)+車位,新北市汐止區南興路82巷1~30號,31.38,住,,,1090327,土地2建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820106,201.11,3,2,2,有,有,13990000,69564,坡道平面,37.79,0,,RPVOMLMLNHPFFDF09CA
