編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOPMLTKNHPFFEF76CC,7,20.23,見其他登記事項,鋼筋混凝土造,102年7月12日,十五層,
RPXOMLTKNHPFFEF57CC,4,93.29,住家用,鋼筋混凝土造,105年10月20日,二十三層,
RPXOMLTKNHPFFEF57CC,4,69.76,見其他登記事項,鋼筋混凝土造,105年10月20日,二十四層,
RPQOMLTKNHPFFDF76CC,10,86.40,住家用,鋼筋混凝土造,99年5月25日,十五層,
RPQOMLTKNHPFFDF76CC,10,65.48,見其他登記事項,鋼筋混凝土造,99年5月25日,十五層,
RPXWMLTKNHPFFAF97CC,,91.80,住家用,鋼筋混凝土造,,五層,
RPRPMLKLNHPFFEF88CC,11,61.00,住家用,鋼筋混凝土造,98年5月26日,六層,
RPRPMLKLNHPFFEF88CC,11,2.08,共有部份,鋼筋混凝土造,98年5月26日,八層,
RPRPMLKLNHPFFEF88CC,11,35.33,共有部份,鋼筋混凝土造,98年5月26日,八層,
RPRPMLKLNHPFFEF88CC,11,2.67,共有部份,鋼筋混凝土造,98年5月26日,六層,
RPRPMLKLNHPFFEF88CC,11,15.68,共有部份,鋼筋混凝土造,98年5月26日,六層,
RPQPMLTKNHPFFEF96CC,1,81.18,住家用,鋼筋混凝土造,108年2月22日,二十層,
RPQPMLTKNHPFFEF96CC,1,63.47,見其他登記事項,鋼筋混凝土造,108年2月22日,二十六層,
RPPOMLKLNHPFFBF28CC,43,24.84,工業用,加強磚造,66年11月10日,三層,
RPSPMLKLNHPFFEF98CC,23,54.54,工業用,鋼筋混凝土造,86年4月30日,二十一層,
RPSPMLKLNHPFFEF98CC,23,7.61,共有部份,鋼筋混凝土造,86年4月30日,二十一層,
RPQNMLKLNHPFFAF18CC,43,16.20,住家用,鋼筋混凝土造,66年4月8日,四層,
RPXPMLKLNHPFFAF09CC,43,16.20,住家用,鋼筋混凝土造,66年4月8日,四層,
RPOPMLKLNHPFFCF38CC,8,28.98,住家用,見其他登記事項,101年11月14日,二十九層,
RPOPMLKLNHPFFCF38CC,8,10.54,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPOPMLKLNHPFFCF38CC,8,.36,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPOPMLKLNHPFFCF38CC,8,1.98,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPOPMLKLNHPFFCF38CC,8,3.74,見其他登記事項,見其他登記事項,101年11月14日,二十九層,
RPPNMLKLNHPFFAF08CC,,64.72,住家用,鋼筋混凝土造,,四層,
RPRQMLKLNHPFFAF58CC,42,92.23,住家用,鋼筋混凝土造,67年8月15日,四層,
RPSRMLKLNHPFFAF78CC,,46.84,住家用,加強磚造,,四層,
RPSQMLKLNHPFFAF68CC,,80.48,住家用,加強磚造,,四層,
RPOSMLKLNHPFFHF56CC,34,104.18,住家用,鋼筋混凝土造,75年7月17日,五層,
RPTOMLKLNHPFFGF56CC,5,155.26,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPTOMLKLNHPFFGF56CC,5,51.28,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPTOMLKLNHPFFGF56CC,5,24.17,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPSOMLKLNHPFFGF09CC,5,155.26,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPSOMLKLNHPFFGF09CC,5,51.28,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPSOMLKLNHPFFGF09CC,5,24.17,見其他登記事項,鋼筋混凝土造,104年4月9日,二十四層,
RPVOMLKLNHPFFGF76CC,7,44.19,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPVOMLKLNHPFFGF76CC,7,.84,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPVOMLKLNHPFFGF76CC,7,18.52,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWOMLKLNHPFFGF86CC,7,44.19,住家用,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWOMLKLNHPFFGF86CC,7,.84,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPWOMLKLNHPFFGF86CC,7,18.52,見其他登記事項,鋼骨鋼筋混凝土造,101年12月20日,二十七層,
RPOQMLKLNHPFFHF98CC,7,43.55,見其他登記事項,見其他登記事項,102年6月19日,十三層,
RPOQMLKLNHPFFHF98CC,7,8.78,見其他登記事項,見其他登記事項,102年6月19日,十三層,
